id,speed
84,34.61
190,31.97
114,42.53
128,20.13
177,20.33
107,23.20
85,39.59
84,24.83
195,28.46
150,35.18
175,23.48
185,27.57
38,37.28
195,38.10
83,38.31
16,43.78
79,39.66
86,40.25
109,38.65
33,42.18
71,32.61
41,42.14
82,43.52
118,26.62
93,32.14
44,43.43
11,30.85
192,38.31
158,38.94
105,39.28
37,40.56
127,40.83
74,35.28
7,37.44
159,20.25
148,29.14
129,39.12
112,31.04
43,32.09
72,23.34
89,27.51
19,37.75
159,30.97
129,27.20
57,36.55
66,28.83
41,26.28
101,25.43
159,36.97
89,40.80
148,37.86
194,36.52
43,36.70
112,43.34
62,35.57
64,24.66
173,22.82
83,24.66
113,33.45
68,37.88
192,33.45
198,25.19
149,31.99
45,28.85
146,35.73
157,27.68
29,32.40
199,24.60
170,39.07
119,35.83
146,41.81
193,29.99
141,32.15
12,31.98
87,38.56
94,30.86
101,23.12
87,21.89
41,28.54
160,35.87
114,25.11
106,30.46
164,34.66
33,27.84
117,26.39
133,37.85
39,31.49
83,22.64
90,24.44
81,36.00
66,23.87
1,38.59
84,37.43
107,29.19
32,24.17
184,33.75
185,25.20
60,22.11
189,40.03
8,24.95
38,33.66
75,33.94
11,27.13
27,30.20
99,35.96
4,41.83
74,31.60
82,28.78
14,26.03
163,34.38
10,20.07
165,41.91
146,40.53
123,29.26
198,34.09
179,40.24
121,38.77
27,21.59
104,29.98
14,26.94
84,28.71
3,34.84
21,33.78
179,26.90
171,21.34
76,34.75
55,37.54
94,26.02
71,36.83
20,40.21
42,36.30
5,26.93
176,43.21
3,30.87
180,38.05
62,43.84
193,30.62
136,21.50
20,29.17
65,39.59
39,41.27
14,43.69
28,36.09
107,29.15
20,31.46
198,24.92
170,42.38
188,23.06
35,36.46
104,43.98
42,24.41
91,42.65
17,24.00
93,41.25
4,24.57
59,22.74
102,24.27
40,22.13
124,28.71
16,31.34
147,32.20
74,22.93
185,37.32
107,41.45
76,34.62
46,40.24
90,37.82
103,25.88
111,34.63
163,28.73
144,40.68
169,23.09
174,28.11
1,25.40
198,40.42
96,31.90
15,34.28
188,23.85
75,25.24
49,22.24
112,27.92
156,28.69
89,21.22
158,42.08
50,41.15
80,24.02
153,32.64
44,38.20
65,30.57
145,41.22
125,22.86
143,20.42
173,28.31
144,42.27
114,37.95
14,26.54
83,42.51
43,33.19
167,30.96
106,24.71
152,43.44
59,22.28
29,42.74
21,27.25
62,36.38
190,39.90
194,38.08
117,20.33
196,20.98
155,43.80
142,26.24
165,43.17
